Pressure (dbar),Depth (m),Temperature (°C),Conductivity (µS/cm),Specific Conductance (µS/cm),Salinity (PSS),Sound Velocity (m/s),Density (kg/m³),Latitude,Longitude,UTC Time,File Name
1.95,1.9887213711122282,12.114648334764368,321.6252352231322,433.28611431550854,0.2063175572652181,1455.747499434696,999.6571870879364,40.2841478,-106.8537518,2025-05-14 16:46:17,CC2435009_20250514_164617
2.224581241607666,2.2687539009224165,12.14516526557355,321.8298030902734,433.2055070818973,0.20629374862716593,1455.8667526042143,999.6549158641856,40.2841478,-106.8537518,2025-05-14 16:46:17,CC2435009_20250514_164617
0.15,0.15318999183202575,12.151207726016764,321.8719482421875,433.1917694519289,0.2062963791670433,1455.8560943810774,999.6444062013724,40.284146,-106.8537445,2025-05-14 16:49:20,CC2435009_20250514_164920
0.45,0.4589383538478587,12.13598918914795,321.8863220214844,433.3886467679546,0.20638339702616532,1455.8037708069255,999.6476652587173,40.284146,-106.8537445,2025-05-14 16:49:20,CC2435009_20250514_164920
0.7499999999999999,0.7648963106660118,12.130125812325433,321.8110263708301,433.35569073671735,0.20636330725163185,1455.7865077024967,999.6497501586621,40.284146,-106.8537445,2025-05-14 16:49:20,CC2435009_20250514_164920
1.05,1.0708535944879747,12.117430061204946,321.32121377585213,432.8441021455528,0.2061061386865182,1455.7432261045874,999.6524433830875,40.284146,-106.8537445,2025-05-14 16:49:20,CC2435009_20250514_164920
1.35,1.3768101465788218,12.110109329223635,321.65472412109375,433.37884195856526,0.20636211689941977,1455.7208057823545,999.6549121106927,40.284146,-106.8537445,2025-05-14 16:49:20,CC2435009_20250514_164920
1.65,1.682766409305518,12.12281239034751,321.48288924963265,432.9991029090552,0.20618284046523827,1455.7732414823738,999.6547146582715,40.284146,-106.8537445,2025-05-14 16:49:20,CC2435009_20250514_164920
1.95,1.9887224519687101,12.11583674419115,321.01442583645365,432.4493989572986,0.20591015836208576,1455.751470297048,999.6567305413738,40.284146,-106.8537445,2025-05-14 16:49:20,CC2435009_20250514_164920
2.1992651488252744,2.242936198861762,12.131059381523967,321.81853046357514,433.35489994625453,0.20635914936535996,1455.813343534757,999.6564900780986,40.284146,-106.8537445,2025-05-14 16:49:20,CC2435009_20250514_164920
0.15,0.1531905310271746,12.17470634665717,322.05692690743325,433.16673964311394,0.20629667450116607,1455.9444656902403,999.641663501144,40.2841455,-106.8537635,2025-05-14 16:53:57,CC2435009_20250514_165357
0.45,0.4589394317925352,12.168513316236368,321.95690592221723,433.1043633396771,0.20626207785517636,1455.9259672154833,999.643778142546,40.2841455,-106.8537635,2025-05-14 16:53:57,CC2435009_20250514_165357
0.7499999999999999,0.7648983683106472,12.164456368060263,321.9515529976553,433.14444022696074,0.2062785836978219,1455.915561236575,999.6456829389056,40.2841455,-106.8537635,2025-05-14 16:53:57,CC2435009_20250514_165357
